"Table with row headers in column A and column headers in rows 5, 58, 111, 164, 217, 270, 323, 376, 429, 482, 535, 588, 641, 694, 747, 800, 853, 906, 959, 1012, 1065, 1118, 1171, 1224, 1277, 1330, 1383, 1436, 1489, 1542, 1595, 1648, 1701, 1754, 1807, 1860, 1913, 1966, 2019, 2072, 2125, 2178, 2231, 2284, 2337, and 2390",,,,,
Table 19. Number of Poor and Poverty Rate by State: 1980 to 2023,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>)",,,,,
2023,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
California,"38,210","5,754",579,15.1,1.5
Colorado,"5,303",569,118,10.7,2.3
Connecticut,"3,637",396,97,10.9,2.6
Delaware,912,102,28,11.2,3.0
District of Columbia,647,150,28,23.2,4.3
Florida,"19,460","2,882",410,14.8,2.1
Georgia,"9,848","1,825",283,18.5,3.0
Hawaii,"1,338",142,39,10.6,3.0
Idaho,"1,610",200,59,12.4,3.6
Illinois,"12,650","1,720",253,13.6,2.0
Indiana,"6,557","1,083",227,16.5,3.5
Iowa,"3,076",405,69,13.2,2.3
Kansas,"2,760",315,115,11.4,4.1
Kentucky,"4,501",991,174,22.0,3.9
Louisiana,"4,534",963,186,21.2,4.1
Maine,"1,330",151,36,11.4,2.6
Maryland,"5,946",623,145,10.5,2.5
Massachusetts,"6,735",818,247,12.1,3.6
Michigan,"10,070","1,277",260,12.7,2.6
Minnesota,"5,349",589,138,11.0,2.6
Mississippi,"2,895",554,166,19.1,5.8
Missouri,"5,955","1,041",224,17.5,3.8
Montana,980,103,44,10.5,4.4
Nebraska,"1,868",196,49,10.5,2.6
Nevada,"2,774",401,99,14.5,3.6
New Hampshire,"1,301",71,21,5.5,1.6
New Jersey,"8,728",861,197,9.9,2.3
New Mexico,"2,079",535,118,25.8,5.8
New York,"19,340","3,337",484,17.3,2.5
North Carolina,"9,672","1,419",316,14.7,3.3
North Dakota,716,94,25,13.2,3.5
Ohio,"11,280","1,684",286,14.9,2.5
Oklahoma,"3,697",785,207,21.2,5.6
Oregon,"3,969",556,132,14.0,3.3
Pennsylvania,"12,800","1,432",250,11.2,2.0
Rhode Island,"1,032",96,30,9.3,2.8
South Carolina,"4,676",904,176,19.3,3.8
South Dakota,827,110,33,13.3,4.1
Tennessee,"6,272",972,227,15.5,3.6
Texas,"26,200","4,422",517,16.9,2.0
Utah,"2,923",357,82,12.2,2.8
Vermont,629,43,16,6.8,2.6
Virginia,"8,230",805,191,9.8,2.3
Washington,"6,877",836,163,12.2,2.3
West Virginia,"1,805",358,84,19.8,4.6
Wisconsin,"5,615",756,171,13.5,3.1
Wyoming,592,68,18,11.4,3.1
2013 (5),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,751",796,110,16.7,2.3
Alaska,696,76,20,10.9,2.8
Arizona,"6,645","1,345",153,20.2,2.3
Arkansas,"2,940",504,114,17.1,3.9
California,"38,050","5,675",352,14.9,1.0
Colorado,"5,289",560,89,10.6,1.6
Connecticut,"3,545",400,59,11.3,1.6
Delaware,907,127,23,14.0,2.5
District of Columbia,650,139,18,21.3,2.6
Florida,"19,370","2,888",291,14.9,1.5
Georgia,"9,787","1,592",199,16.3,2.0
Hawaii,"1,368",152,26,11.1,2.0
Idaho,"1,592",205,49,12.9,3.1
Illinois,"12,780","1,695",192,13.3,1.5
Indiana,"6,398",743,125,11.6,2.0
Iowa,"3,066",330,51,10.8,1.6
Kansas,"2,830",373,53,13.2,1.8
Kentucky,"4,360",871,104,20.0,2.3
Louisiana,"4,504",863,156,19.2,3.5
Maine,"1,310",161,28,12.3,2.1
Maryland,"5,933",611,84,10.3,1.5
Massachusetts,"6,570",784,153,11.9,2.3
Michigan,"9,840","1,428",194,14.5,2.0
Minnesota,"5,398",649,99,12.0,1.8
Mississippi,"2,918",657,94,22.5,3.3
Missouri,"5,997",824,148,13.7,2.5
Montana,998,145,33,14.5,3.3
Nebraska,"1,838",202,38,11.0,2.1
Nevada,"2,760",480,86,17.4,3.1
New Hampshire,"1,317",119,20,9.0,1.5
New Jersey,"8,842",984,197,11.1,2.3
New Mexico,"2,099",454,76,21.7,3.6
New York,"19,490","2,825",270,14.5,1.3
North Carolina,"9,619","1,793",265,18.6,2.8
North Dakota,711,71,16,9.9,2.3
Ohio,"11,470","1,571",227,13.7,2.0
Oklahoma,"3,708",518,130,14.0,3.5
Oregon,"3,934",593,92,15.1,2.3
Pennsylvania,"12,740","1,576",219,12.4,1.6
Rhode Island,"1,048",142,21,13.5,2.0
South Carolina,"4,679",745,156,15.9,3.3
South Dakota,833,85,20,10.3,2.5
Tennessee,"6,453","1,170",188,18.1,3.0
Texas,"26,380","4,425",382,16.8,1.5
Utah,"2,877",239,53,8.3,1.8
Vermont,619,54,10,8.7,1.6
Virginia,"8,174",854,165,10.4,2.0
Washington,"6,854",819,133,12.0,2.0
West Virginia,"1,823",315,58,17.3,3.1
Wisconsin,"5,625",618,115,11.0,2.0
Wyoming,578,68,10,11.8,1.8
2012,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,808",777,150,16.2,3.1
Alaska,702,70,13,10.0,1.8
Arizona,"6,642","1,260",183,19.0,2.8
Arkansas,"2,909",584,84,20.1,3.0
California,"37,910","6,015",316,15.9,0.8
Colorado,"5,153",613,100,11.9,2.0
Connecticut,"3,517",363,49,10.3,1.5
Delaware,900,121,18,13.5,2.0
District of Columbia,632,116,15,18.4,2.1
Florida,"19,170","2,926",211,15.3,1.2
Georgia,"9,665","1,752",220,18.1,2.3
Hawaii,"1,356",188,35,13.8,2.6
Idaho,"1,588",229,36,14.4,2.3
Illinois,"12,730","1,608",161,12.6,1.3
Indiana,"6,343",964,115,15.2,1.8
Iowa,"3,010",310,36,10.3,1.3
Kansas,"2,828",397,56,14.0,2.1
Kentucky,"4,342",776,109,17.9,2.5
Louisiana,"4,465",944,163,21.1,3.8
Maine,"1,330",170,23,12.8,1.8
Maryland,"5,892",585,77,9.9,1.3
Massachusetts,"6,566",743,97,11.3,1.5
Michigan,"9,731","1,331",156,13.7,1.6
Minnesota,"5,353",534,77,10.0,1.5
Mississippi,"2,893",636,90,22.0,3.1
Missouri,"5,956",905,141,15.2,2.5
Montana,999,134,25,13.4,2.5
Nebraska,"1,849",226,41,12.2,2.1
Nevada,"2,735",433,53,15.8,2.0
New Hampshire,"1,308",106,18,8.1,1.3
New Jersey,"8,720",814,120,9.3,1.3
New Mexico,"2,064",420,72,20.4,3.5
New York,"19,300","3,328",215,17.2,1.2
North Carolina,"9,634","1,652",207,17.2,2.1
North Dakota,692,79,12,11.4,1.8
Ohio,"11,400","1,751",196,15.4,1.8
Oklahoma,"3,700",668,76,18.0,2.1
Oregon,"3,872",523,66,13.5,1.6
Pennsylvania,"12,660","1,756",183,13.9,1.5
Rhode Island,"1,034",141,20,13.6,1.8
South Carolina,"4,667",779,104,16.7,2.3
South Dakota,822,106,18,12.8,2.1
Tennessee,"6,422","1,194",194,18.6,3.1
Texas,"26,060","4,444",316,17.0,1.2
Utah,"2,849",312,74,11.0,2.6
Vermont,615,69,12,11.2,1.8
Virginia,"7,994",850,146,10.6,1.8
Washington,"6,856",796,95,11.6,1.5
West Virginia,"1,803",301,66,16.7,3.6
Wisconsin,"5,628",640,81,11.4,1.5
Wyoming,577,56,12,9.6,2.0
2011,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,765",732,122,15.4,2.5
Alaska,712,83,15,11.7,2.1
Arizona,"6,547","1,128",176,17.2,2.8
Arkansas,"2,909",545,76,18.7,2.6
California,"37,590","6,352",332,16.9,1.0
Colorado,"5,016",661,89,13.2,1.8
Connecticut,"3,514",356,54,10.1,1.5
Delaware,902,123,15,13.7,1.6
District of Columbia,619,123,15,19.9,2.3
Florida,"18,990","2,822",224,14.9,1.2
Georgia,"9,681","1,783",201,18.4,2.1
Hawaii,"1,337",162,30,12.1,2.3
Idaho,"1,574",248,43,15.7,2.8
Illinois,"12,700","1,807",179,14.2,1.5
Indiana,"6,344",989,137,15.6,2.1
Iowa,"3,027",315,39,10.4,1.3
Kansas,"2,807",402,53,14.3,2.0
Kentucky,"4,302",689,99,16.0,2.3
Louisiana,"4,494",947,123,21.1,2.6
Maine,"1,328",178,23,13.4,1.8
Maryland,"5,806",537,71,9.3,1.3
Massachusetts,"6,514",688,90,10.6,1.5
Michigan,"9,689","1,449",165,15.0,1.6
Minnesota,"5,276",528,76,10.0,1.5
Mississippi,"2,932",510,66,17.4,2.3
Missouri,"5,892",910,161,15.4,2.8
Montana,986,163,26,16.5,2.6
Nebraska,"1,823",187,36,10.2,2.1
Nevada,"2,682",414,56,15.5,2.1
New Hampshire,"1,300",99,20,7.6,1.5
New Jersey,"8,642",988,125,11.4,1.5
New Mexico,"2,037",451,59,22.2,3.0
New York,"19,330","3,085",237,16.0,1.2
North Carolina,"9,504","1,459",214,15.4,2.3
North Dakota,675,67,16,9.9,2.3
Ohio,"11,310","1,708",212,15.1,2.0
Oklahoma,"3,763",522,77,13.9,2.0
Oregon,"3,850",553,84,14.4,2.1
Pennsylvania,"12,700","1,604",174,12.6,1.3
Rhode Island,"1,038",139,16,13.4,1.6
South Carolina,"4,605",874,105,19.0,2.3
South Dakota,808,117,33,14.5,4.1
Tennessee,"6,324","1,030",171,16.3,2.8
Texas,"25,550","4,458",322,17.4,1.3
Utah,"2,812",309,48,11.0,1.6
Vermont,615,71,10,11.6,1.6
Virginia,"7,971",907,115,11.4,1.5
Washington,"6,812",854,122,12.5,1.8
West Virginia,"1,820",318,56,17.5,3.0
Wisconsin,"5,676",743,99,13.1,1.8
Wyoming,562,60,13,10.7,2.3
2010 (6),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,717",812,137,17.2,3.0
Alaska,695,87,16,12.5,2.5
Arizona,"6,426","1,208",178,18.8,2.8
Arkansas,"2,879",440,74,15.3,2.6
California,"37,240","6,073",349,16.3,1.0
Colorado,"4,995",615,89,12.3,1.8
Connecticut,"3,541",303,44,8.6,1.3
Delaware,890,109,16,12.2,1.8
District of Columbia,604,118,13,19.5,2.1
Florida,"18,760","3,006",209,16.0,1.2
Georgia,"9,650","1,814",171,18.8,1.8
Hawaii,"1,311",162,25,12.4,2.0
Idaho,"1,543",213,38,13.8,2.5
Illinois,"12,780","1,798",166,14.1,1.3
Indiana,"6,390","1,041",156,16.3,2.5
Iowa,"2,977",307,49,10.3,1.6
Kansas,"2,766",400,64,14.5,2.3
Kentucky,"4,270",754,107,17.7,2.6
Louisiana,"4,418",949,114,21.5,2.6
Maine,"1,298",164,25,12.6,2.0
Maryland,"5,786",628,82,10.9,1.5
Massachusetts,"6,532",711,112,10.9,1.8
Michigan,"9,751","1,530",181,15.7,1.8
Minnesota,"5,217",563,71,10.8,1.3
Mississippi,"2,920",658,72,22.5,2.5
Missouri,"5,929",890,130,15.0,2.3
Montana,979,142,28,14.5,3.0
Nebraska,"1,804",184,33,10.2,2.0
Nevada,"2,696",446,58,16.6,2.1
New Hampshire,"1,294",84,13,6.5,1.2
New Jersey,"8,733",966,146,11.1,1.6
New Mexico,"2,033",372,49,18.3,2.5
New York,"19,120","3,062",242,16.0,1.3
North Carolina,"9,359","1,633",148,17.4,1.6
North Dakota,653,82,10,12.6,1.5
Ohio,"11,340","1,746",194,15.4,1.8
Oklahoma,"3,697",603,102,16.3,2.8
Oregon,"3,752",537,72,14.3,2.0
Pennsylvania,"12,530","1,535",138,12.2,1.2
Rhode Island,"1,042",146,18,14.0,1.6
South Carolina,"4,563",773,87,16.9,2.0
South Dakota,799,109,15,13.6,1.8
Tennessee,"6,315","1,052",140,16.7,2.1
Texas,"25,200","4,633",322,18.4,1.3
Utah,"2,768",278,49,10.0,1.8
Vermont,624,67,12,10.8,1.8
Virginia,"7,837",835,120,10.7,1.5
Washington,"6,713",779,120,11.6,1.8
West Virginia,"1,816",306,38,16.8,2.1
Wisconsin,"5,626",567,86,10.1,1.5
Wyoming,550,53,8,9.6,1.5
2009,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,655",770,99,16.6,2.1
Alaska,688,81,13,11.7,2.0
Arizona,"6,508","1,381",138,21.2,2.1
Arkansas,"2,846",538,66,18.9,2.3
California,"36,740","5,638",291,15.3,0.8
Colorado,"4,969",613,95,12.3,2.0
Connecticut,"3,472",292,58,8.4,1.6
Delaware,883,109,18,12.3,2.0
District of Columbia,595,107,15,17.9,2.5
Florida,"18,390","2,676",191,14.6,1.0
Georgia,"9,657","1,775",150,18.4,1.5
Hawaii,"1,250",156,23,12.5,2.0
Idaho,"1,524",209,31,13.7,2.0
Illinois,"12,760","1,690",155,13.2,1.2
Indiana,"6,342","1,023",115,16.1,1.8
Iowa,"2,987",319,56,10.7,1.8
Kansas,"2,737",374,58,13.7,2.1
Kentucky,"4,276",727,95,17.0,2.3
Louisiana,"4,450",636,90,14.3,2.0
Maine,"1,297",148,26,11.4,2.1
Maryland,"5,662",543,89,9.6,1.6
Massachusetts,"6,623",717,99,10.8,1.5
Michigan,"9,797","1,376",137,14.0,1.3
Minnesota,"5,200",576,89,11.1,1.6
Mississippi,"2,847",658,72,23.1,2.5
Missouri,"5,963",926,112,15.5,1.8
Montana,971,131,20,13.5,2.0
Nebraska,"1,778",176,33,9.9,1.8
Nevada,"2,629",343,53,13.0,2.0
New Hampshire,"1,313",103,21,7.8,1.6
New Jersey,"8,660",806,109,9.3,1.3
New Mexico,"1,971",381,51,19.3,2.6
New York,"19,160","3,018",206,15.8,1.2
North Carolina,"9,336","1,576",145,16.9,1.5
North Dakota,632,69,12,10.9,1.8
Ohio,"11,440","1,526",143,13.3,1.3
Oklahoma,"3,632",468,72,12.9,2.0
Oregon,"3,821",510,81,13.4,2.1
Pennsylvania,"12,400","1,376",138,11.1,1.2
Rhode Island,"1,030",134,23,13.0,2.1
South Carolina,"4,501",618,90,13.7,2.0
South Dakota,799,113,15,14.1,2.0
Tennessee,"6,240","1,031",115,16.5,1.8
Texas,"24,630","4,262",253,17.3,1.0
Utah,"2,794",270,43,9.7,1.5
Vermont,617,58,12,9.4,1.8
Virginia,"7,767",831,107,10.7,1.3
Washington,"6,697",781,107,11.7,1.6
West Virginia,"1,801",285,36,15.8,2.0
Wisconsin,"5,545",599,92,10.8,1.6
Wyoming,540,50,10,9.2,1.8
2008,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,716",675,94,14.3,2.0
Alaska,672,55,12,8.2,1.6
Arizona,"6,529","1,172",130,18.0,2.0
Arkansas,"2,822",431,59,15.3,2.1
California,"36,640","5,344",286,14.6,0.8
Colorado,"4,908",541,90,11.0,1.8
Connecticut,"3,433",276,56,8.1,1.6
Delaware,861,82,15,9.6,1.8
District of Columbia,590,98,15,16.5,2.5
Florida,"18,020","2,370",181,13.1,1.0
Georgia,"9,541","1,477",138,15.5,1.5
Hawaii,"1,255",125,21,9.9,1.8
Idaho,"1,515",185,30,12.2,2.0
Illinois,"12,690","1,564",148,12.3,1.2
Indiana,"6,288",901,109,14.3,1.8
Iowa,"2,986",285,53,9.5,1.8
Kansas,"2,716",346,56,12.7,2.1
Kentucky,"4,246",724,95,17.1,2.3
Louisiana,"4,326",788,99,18.2,2.3
Maine,"1,317",158,28,12.0,2.1
Maryland,"5,528",481,84,8.7,1.5
Massachusetts,"6,420",727,99,11.3,1.5
Michigan,"9,806","1,273",132,13.0,1.3
Minnesota,"5,120",506,84,9.9,1.6
Mississippi,"2,900",525,66,18.1,2.3
Missouri,"5,861",780,104,13.3,1.8
Montana,973,125,20,12.9,2.0
Nebraska,"1,774",188,33,10.6,1.8
Nevada,"2,581",278,49,10.8,2.0
New Hampshire,"1,300",91,20,7.0,1.6
New Jersey,"8,515",787,107,9.2,1.3
New Mexico,"1,977",381,51,19.3,2.6
New York,"19,310","2,734",197,14.2,1.0
North Carolina,"9,234","1,285",132,13.9,1.5
North Dakota,625,74,12,11.8,2.0
Ohio,"11,390","1,557",145,13.7,1.3
Oklahoma,"3,550",484,74,13.6,2.1
Oregon,"3,806",403,72,10.6,2.0
Pennsylvania,"12,180","1,335",137,11.0,1.2
Rhode Island,"1,042",132,23,12.7,2.1
South Carolina,"4,462",624,90,14.0,2.0
South Dakota,794,104,15,13.1,1.8
Tennessee,"6,163",924,110,15.0,1.8
Texas,"24,170","3,834",243,15.9,1.0
Utah,"2,754",209,38,7.6,1.5
Vermont,610,55,12,9.0,1.8
Virginia,"7,735",799,105,10.3,1.3
Washington,"6,526",680,100,10.4,1.5
West Virginia,"1,796",260,35,14.5,2.0
Wisconsin,"5,548",544,87,9.8,1.6
Wyoming,529,54,10,10.1,2.0
2007,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,566",662,92,14.5,2.0
Alaska,675,51,12,7.6,1.6
Arizona,"6,365",912,117,14.3,1.8
Arkansas,"2,803",387,58,13.8,2.0
California,"36,250","4,589",268,12.7,0.8
Colorado,"4,872",478,86,9.8,1.8
Connecticut,"3,471",309,59,8.9,1.6
Delaware,861,80,15,9.3,1.8
District of Columbia,580,104,15,18.0,2.6
Florida,"18,040","2,250",178,12.5,1.0
Georgia,"9,486","1,294",132,13.6,1.3
Hawaii,"1,264",94,20,7.5,1.5
Idaho,"1,501",149,26,9.9,1.8
Illinois,"12,680","1,262",135,10.0,1.2
Indiana,"6,258",740,100,11.8,1.6
Iowa,"2,965",264,51,8.9,1.8
Kansas,"2,720",319,54,11.7,2.0
Kentucky,"4,202",653,90,15.5,2.1
Louisiana,"4,186",673,92,16.1,2.1
Maine,"1,312",142,26,10.9,2.0
Maryland,"5,560",491,86,8.8,1.5
Massachusetts,"6,336",707,97,11.2,1.5
Michigan,"9,919","1,076",122,10.8,1.3
Minnesota,"5,188",482,82,9.3,1.6
Mississippi,"2,895",655,72,22.6,2.5
Missouri,"5,783",742,102,12.8,1.8
Montana,938,122,20,13.0,2.0
Nebraska,"1,751",174,33,9.9,1.8
Nevada,"2,566",250,46,9.7,1.8
New Hampshire,"1,312",76,18,5.8,1.5
New Jersey,"8,548",742,104,8.7,1.2
New Mexico,"1,941",271,44,14.0,2.3
New York,"19,020","2,757",199,14.5,1.0
North Carolina,"9,170","1,423",138,15.5,1.5
North Dakota,614,57,12,9.3,1.8
Ohio,"11,280","1,446",140,12.8,1.3
Oklahoma,"3,551",476,72,13.4,2.1
Oregon,"3,761",481,77,12.8,2.1
Pennsylvania,"12,300","1,273",133,10.4,1.2
Rhode Island,"1,042",99,20,9.5,1.8
South Carolina,"4,380",617,89,14.1,2.0
South Dakota,787,74,13,9.4,1.6
Tennessee,"6,137",906,109,14.8,1.8
Texas,"23,650","3,903",243,16.5,1.0
Utah,"2,651",255,43,9.6,1.6
Vermont,613,61,12,9.9,2.0
Virginia,"7,678",664,97,8.6,1.3
Washington,"6,503",661,99,10.2,1.5
West Virginia,"1,793",265,36,14.8,2.0
Wisconsin,"5,458",601,92,11.0,1.6
Wyoming,518,56,10,10.9,2.0
2006,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,532",650,92,14.3,2.0
Alaska,658,58,12,8.9,1.8
Arizona,"6,256",902,117,14.4,1.8
Arkansas,"2,748",487,63,17.7,2.3
California,"36,160","4,427",263,12.2,0.7
Colorado,"4,797",466,86,9.7,1.8
Connecticut,"3,457",275,56,8.0,1.6
Delaware,858,80,15,9.3,1.8
District of Columbia,569,104,15,18.3,2.6
Florida,"18,030","2,068",171,11.5,1.0
Georgia,"9,334","1,172",125,12.6,1.3
Hawaii,"1,254",116,21,9.2,1.6
Idaho,"1,472",141,26,9.5,1.8
Illinois,"12,630","1,338",140,10.6,1.2
Indiana,"6,334",674,97,10.6,1.5
Iowa,"2,913",301,54,10.3,1.8
Kansas,"2,719",349,56,12.8,2.1
Kentucky,"4,106",690,92,16.8,2.3
Louisiana,"4,206",713,94,17.0,2.3
Maine,"1,313",134,26,10.2,2.0
Maryland,"5,607",469,84,8.4,1.5
Massachusetts,"6,324",758,100,12.0,1.6
Michigan,"9,953","1,323",133,13.3,1.3
Minnesota,"5,145",422,77,8.2,1.5
Mississippi,"2,887",596,69,20.6,2.5
Missouri,"5,797",659,95,11.4,1.6
Montana,930,125,20,13.5,2.1
Nebraska,"1,765",180,33,10.2,1.8
Nevada,"2,530",241,46,9.5,1.8
New Hampshire,"1,308",71,18,5.4,1.3
New Jersey,"8,650",762,105,8.8,1.2
New Mexico,"1,939",328,48,16.9,2.5
New York,"19,020","2,668",196,14.0,1.0
North Carolina,"8,847","1,225",130,13.8,1.5
North Dakota,615,70,12,11.4,2.0
Ohio,"11,300","1,371",137,12.1,1.2
Oklahoma,"3,489",531,77,15.2,2.1
Oregon,"3,705",439,74,11.8,2.0
Pennsylvania,"12,330","1,397",138,11.3,1.2
Rhode Island,"1,054",110,21,10.5,2.0
South Carolina,"4,224",474,81,11.2,2.0
South Dakota,770,82,13,10.7,1.8
Tennessee,"5,916",879,107,14.9,1.8
Texas,"23,210","3,816",242,16.4,1.0
Utah,"2,536",235,41,9.3,1.6
Vermont,618,48,10,7.8,1.8
Virginia,"7,532",651,95,8.6,1.3
Washington,"6,310",502,87,8.0,1.3
West Virginia,"1,810",277,36,15.3,2.0
Wisconsin,"5,471",555,89,10.1,1.6
Wyoming,516,51,10,10.0,2.0
2005,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,501",750,97,16.7,2.1
Alaska,657,66,12,10.0,1.8
Arizona,"6,025",917,117,15.2,2.0
Arkansas,"2,756",382,56,13.8,2.1
California,"35,840","4,716",270,13.2,0.8
Colorado,"4,629",530,90,11.4,2.0
Connecticut,"3,483",326,61,9.3,1.8
Delaware,842,78,15,9.2,1.8
District of Columbia,539,115,15,21.3,2.8
Florida,"17,850","1,975",168,11.1,1.0
Georgia,"9,014","1,298",132,14.4,1.5
Hawaii,"1,274",110,20,8.6,1.6
Idaho,"1,441",143,26,9.9,1.8
Illinois,"12,570","1,441",143,11.5,1.2
Indiana,"6,131",774,102,12.6,1.6
Iowa,"2,902",327,56,11.3,2.0
Kansas,"2,693",337,56,12.5,2.1
Kentucky,"4,049",599,87,14.8,2.1
Louisiana,"4,086",748,95,18.3,2.3
Maine,"1,314",166,28,12.6,2.1
Maryland,"5,560",542,89,9.7,1.6
Massachusetts,"6,318",641,94,10.1,1.5
Michigan,"9,964","1,196",128,12.0,1.3
Minnesota,"5,113",412,76,8.1,1.5
Mississippi,"2,843",571,67,20.1,2.5
Missouri,"5,697",659,95,11.6,1.6
Montana,926,128,20,13.8,2.1
Nebraska,"1,760",167,31,9.5,1.8
Nevada,"2,447",260,48,10.6,2.0
New Hampshire,"1,298",73,18,5.6,1.5
New Jersey,"8,692",592,94,6.8,1.2
New Mexico,"1,938",347,48,17.9,2.5
New York,"19,000","2,760",199,14.5,1.0
North Carolina,"8,538","1,115",123,13.1,1.5
North Dakota,625,70,12,11.2,2.0
Ohio,"11,310","1,392",138,12.3,1.2
Oklahoma,"3,486",543,77,15.6,2.3
Oregon,"3,619",436,74,12.0,2.1
Pennsylvania,"12,240","1,372",138,11.2,1.2
Rhode Island,"1,052",127,21,12.1,2.1
South Carolina,"4,164",626,90,15.0,2.1
South Dakota,765,90,13,11.8,1.8
Tennessee,"5,853",872,107,14.9,1.8
Texas,"22,780","3,681",237,16.2,1.0
Utah,"2,521",232,39,9.2,1.6
Vermont,621,47,10,7.6,1.6
Virginia,"7,442",684,99,9.2,1.3
Washington,"6,237",636,97,10.2,1.5
West Virginia,"1,795",276,36,15.4,2.0
Wisconsin,"5,440",553,89,10.2,1.6
Wyoming,509,54,10,10.6,2.0
2004 (7),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,508",762,97,16.9,2.1
Alaska,648,59,12,9.1,1.8
Arizona,"5,763",830,112,14.4,2.0
Arkansas,"2,723",412,58,15.1,2.1
California,"35,770","4,724",271,13.2,0.8
Colorado,"4,517",450,84,10.0,1.8
Connecticut,"3,487",352,63,10.1,1.8
Delaware,825,74,15,9.0,1.8
District of Columbia,545,93,15,17.0,2.6
Florida,"17,420","2,028",169,11.6,1.0
Georgia,"8,700","1,132",123,13.0,1.5
Hawaii,"1,244",106,20,8.6,1.6
Idaho,"1,372",136,25,9.9,1.8
Illinois,"12,560","1,546",148,12.3,1.2
Indiana,"6,121",712,99,11.6,1.6
Iowa,"2,901",316,56,10.9,2.0
Kansas,"2,669",304,53,11.4,2.0
Kentucky,"4,068",723,94,17.8,2.3
Louisiana,"4,419",744,95,16.8,2.1
Maine,"1,290",149,28,11.6,2.1
Maryland,"5,539",550,89,9.9,1.6
Massachusetts,"6,363",594,90,9.3,1.5
Michigan,"9,939","1,318",133,13.3,1.3
Minnesota,"5,120",356,71,7.0,1.5
Mississippi,"2,862",536,66,18.7,2.3
Missouri,"5,609",686,99,12.2,1.8
Montana,908,129,20,14.2,2.1
Nebraska,"1,724",163,31,9.5,1.8
Nevada,"2,385",260,48,10.9,2.0
New Hampshire,"1,291",71,18,5.5,1.5
New Jersey,"8,652",693,100,8.0,1.2
New Mexico,"1,899",314,46,16.5,2.5
New York,"19,010","2,847",201,15.0,1.0
North Carolina,"8,421","1,229",130,14.6,1.5
North Dakota,627,61,12,9.7,1.8
Ohio,"11,260","1,304",133,11.6,1.2
Oklahoma,"3,444",373,66,10.8,2.0
Oregon,"3,572",421,74,11.8,2.1
Pennsylvania,"12,140","1,383",138,11.4,1.2
Rhode Island,"1,055",122,21,11.5,2.0
South Carolina,"4,120",615,89,14.9,2.1
South Dakota,751,102,15,13.5,2.0
Tennessee,"5,846",932,110,15.9,1.8
Texas,"22,290","3,669",237,16.5,1.2
Utah,"2,390",241,41,10.1,1.6
Vermont,616,48,12,7.8,1.8
Virginia,"7,369",693,99,9.4,1.3
Washington,"6,116",700,100,11.4,1.6
West Virginia,"1,791",254,35,14.2,2.0
Wisconsin,"5,456",676,97,12.4,1.8
Wyoming,496,50,10,10.0,2.0
2003,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,417",663,92,15.0,2.0
Alaska,643,62,10,9.6,1.5
Arizona,"5,558",749,115,13.5,2.0
Arkansas,"2,670",474,64,17.8,2.1
California,"35,310","4,634",326,13.1,0.8
Colorado,"4,478",436,66,9.7,1.3
Connecticut,"3,417",278,46,8.1,1.3
Delaware,818,60,12,7.3,1.5
District of Columbia,550,92,13,16.8,2.3
Florida,"16,880","2,148",188,12.7,1.0
Georgia,"8,559","1,014",155,11.9,1.6
Hawaii,"1,250",117,20,9.3,1.5
Idaho,"1,356",138,25,10.2,1.6
Illinois,"12,620","1,592",156,12.6,1.2
Indiana,"6,130",610,89,9.9,1.3
Iowa,"2,916",260,43,8.9,1.5
Kansas,"2,676",288,44,10.8,1.6
Kentucky,"4,100",589,82,14.4,1.8
Louisiana,"4,422",750,104,17.0,2.1
Maine,"1,279",149,21,11.6,1.5
Maryland,"5,485",472,77,8.6,1.3
Massachusetts,"6,357",652,92,10.3,1.3
Michigan,"9,893","1,125",127,11.4,1.2
Minnesota,"5,075",376,66,7.4,1.3
Mississippi,"2,851",456,67,16.0,2.1
